age,sex,race,marital_status,education,employment,income,books_read_count,read_print_raw,read_audio_raw,read_ebook_raw,last_book_source,read_news,read_magazines,read_print,read_audio,read_ebook,reader_segment,is_digital_adopter
67,Female,White,Widowed,"Some college, no 4-year degree",Retired,"$30,000 to under $40,000",97,Yes,No,No,Got the book some other way,Yes,Yes,1,0,0,Print-only,0
67,Female,White,Married,High school incomplete,Retired,"$75,000 to under $100,000",97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
66,Female,White,Married,"Some college, no 4-year degree",Retired,"$50,000 to under $75,000",97,Yes,No,No,Borrowed the book from a library,Yes,Yes,1,0,0,Print-only,0
66,Female,White,Divorced,Post-graduate training/professional school after college,Retired,"$20,000 to under $30,000",97,Yes,No,No,Purchased the book,Yes,No,1,0,0,Print-only,0
66,Female,White,Married,College graduate,Retired,"$100,000 to under $150,000",97,Yes,No,Don’t know,Purchased the book,No,No,1,0,0,Print-only,0
66,Female,White,Married,College graduate,Retired,"$100,000 to under $150,000",97,Yes,No,Yes,Borrowed the book from a library,Yes,No,1,0,1,Hybrid,1
65,Female,White,Married,Post-graduate training/professional school after college,Retired,"$20,000 to under $30,000",97,Yes,No,No,Purchased the book,No,No,1,0,0,Print-only,0
65,Male,White,Married,Post-graduate training/professional school after college,Retired,"$30,000 to under $40,000",97,Yes,No,No,Purchased the book,Yes,Yes,1,0,0,Print-only,0
65,Female,White,Divorced,College graduate,Retired,"$10,000 to under $20,000",97,Yes,No,No,Got the book some other way,Yes,Yes,1,0,0,Print-only,0
65,Female,White,Widowed,"Some college, no 4-year degree",Retired,"$100,000 to under $150,000",97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
65,Female,White,Divorced,College graduate,Employed full-time,"$75,000 to under $100,000",97,Yes,No,No,Borrowed the book from a library,Yes,Yes,1,0,0,Print-only,0
65,Female,White,Living with a partner,"Some college, no 4-year degree",Employed part-time,"$40,000 to under $50,000",97,Yes,Yes,No,Purchased the book,Yes,Yes,1,1,0,Hybrid,1
65,Female,White,Divorced,"Some college, no 4-year degree",Retired,"$20,000 to under $30,000",97,Yes,No,No,Borrowed the book from a library,Yes,Yes,1,0,0,Print-only,0
64,Female,White,Married,Post-graduate training/professional school after college,Retired,"$100,000 to under $150,000",97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
64,Male,White,Married,Post-graduate training/professional school after college,Retired,"$100,000 to under $150,000",97,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1,Hybrid,1
64,Female,White,Widowed,High school graduate,Retired,Refused,97,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1,Hybrid,1
64,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
63,Female,White,Married,Post-graduate training/professional school after college,Retired,"$75,000 to under $100,000",97,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1,Hybrid,1
63,Female,White,Divorced,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",97,Yes,No,No,Purchased the book,Yes,Yes,1,0,0,Print-only,0
62,Female,White,Divorced,College graduate,Retired,"$20,000 to under $30,000",97,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1,Hybrid,1
60,Female,White,Widowed,College graduate,Employed full-time,"$100,000 to under $150,000",97,Yes,Yes,Yes,Purchased the book,No,Yes,1,1,1,Hybrid,1
60,Female,White,Single,College graduate,Employed full-time,"$50,000 to under $75,000",97,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes,1,1,1,Hybrid,1
60,Female,White,Never been married,College graduate,Employed part-time,"$50,000 to under $75,000",97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
60,Female,White,Married,College graduate,Employed full-time,"$50,000 to under $75,000",97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
60,Female,White,Never been married,College graduate,Retired,"$20,000 to under $30,000",97,Yes,Yes,No,Purchased the book,Yes,No,1,1,0,Hybrid,1
59,Female,White,Married,Post-graduate training/professional school after college,Retired,Refused,97,Yes,Yes,No,Purchased the book,Yes,Yes,1,1,0,Hybrid,1
59,Female,White,Married,Post-graduate training/professional school after college,Retired,"$100,000 to under $150,000",97,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,Yes,1,1,0,Hybrid,1
59,Female,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
58,Female,White,Married,High school graduate,Not employed for pay,"$50,000 to under $75,000",97,Yes,No,No,Purchased the book,No,No,1,0,0,Print-only,0
58,Male,White,Never been married,"Some college, no 4-year degree",Not employed for pay,"$10,000 to under $20,000",97,Yes,No,No,Borrowed the book from a library,Yes,Yes,1,0,0,Print-only,0
58,Female,White,Married,"Some college, no 4-year degree",Employed part-time,"$50,000 to under $75,000",97,Yes,No,No,Borrowed the book from a library,Yes,No,1,0,0,Print-only,0
58,Female,White,Married,Post-graduate training/professional school after college,Other,"$100,000 to under $150,000",97,Yes,No,No,Borrowed the book from a library,Yes,Yes,1,0,0,Print-only,0
57,Female,White,Married,"Some college, no 4-year degree",Not employed for pay,"$100,000 to under $150,000",97,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes,1,1,1,Hybrid,1
56,Female,White,Divorced,High school graduate,Retired,"$20,000 to under $30,000",97,Yes,No,No,Purchased the book,No,Yes,1,0,0,Print-only,0
55,Female,White,Married,"Some college, no 4-year degree",Retired,"$50,000 to under $75,000",97,Yes,Yes,Yes,Purchased the book,No,Yes,1,1,1,Hybrid,1
55,Female,White,Married,"Some college, no 4-year degree",Have own business/self-employed,Refused,97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
54,Female,White,Married,College graduate,Employed full-time,Refused,97,Yes,Don’t know,Yes,Borrowed the book from a library,Yes,Yes,1,0,1,Hybrid,1
53,Female,White,Divorced,High school graduate,Employed full-time,"$30,000 to under $40,000",97,Yes,No,No,Purchased the book,No,No,1,0,0,Print-only,0
53,Male,White,Divorced,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",97,Yes,No,Yes,Purchased the book,No,Yes,1,0,1,Hybrid,1
52,Female,White,Married,College graduate,Employed part-time,"$100,000 to under $150,000",97,Yes,Yes,No,Purchased the book,Yes,Yes,1,1,0,Hybrid,1
52,Female,White,Married,College graduate,Employed full-time,"$20,000 to under $30,000",97,Yes,No,Yes,Got the book some other way,No,No,1,0,1,Hybrid,1
50,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$75,000 to under $100,000",97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
50,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",97,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1,Hybrid,1
50,Female,White,Married,High school incomplete,Not employed for pay,"Less than $10,000",97,Yes,No,No,Purchased the book,Yes,No,1,0,0,Print-only,0
46,Female,White,Married,College graduate,Have own business/self-employed,"$30,000 to under $40,000",97,Yes,No,No,Borrowed the book from a library,Yes,Yes,1,0,0,Print-only,0
46,Female,White,Married,College graduate,Not employed for pay,"$100,000 to under $150,000",97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,1,0,0,Print-only,0
45,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
44,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",97,Yes,No,Yes,Purchased the book,No,Yes,1,0,1,Hybrid,1
42,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",97,Yes,No,Yes,Borrowed the book from a library,Yes,Yes,1,0,1,Hybrid,1
41,Female,White,Married,College graduate,Employed full-time,"$30,000 to under $40,000",97,Yes,Yes,No,Borrowed the book from a library,No,Yes,1,1,0,Hybrid,1
40,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
38,Male,White,Married,College graduate,Not employed for pay,Refused,97,Yes,No,Yes,Got the book some other way,Yes,Yes,1,0,1,Hybrid,1
38,Female,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",97,Yes,No,Yes,Purchased the book,No,Yes,1,0,1,Hybrid,1
38,Female,White,Married,College graduate,Have own business/self-employed,"$100,000 to under $150,000",97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
37,Female,White,Married,College graduate,Employed part-time,"$40,000 to under $50,000",97,Yes,No,Yes,Purchased the book,No,No,1,0,1,Hybrid,1
36,Female,White,Never been married,"Some college, no 4-year degree",Employed full-time,"$30,000 to under $40,000",97,Yes,No,Yes,Purchased the book,No,No,1,0,1,Hybrid,1
35,Male,White,Single,High school graduate,Not employed for pay,"$10,000 to under $20,000",97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
35,Male,White,Married,"Some college, no 4-year degree",Have own business/self-employed,"$20,000 to under $30,000",97,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1,Hybrid,1
34,Female,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",97,Yes,No,Yes,Borrowed the book from a library,No,Yes,1,0,1,Hybrid,1
34,Male,White,Married,High school graduate,Employed full-time,"$40,000 to under $50,000",97,Yes,Yes,No,Borrowed the book from a friend or family member,No,Yes,1,1,0,Hybrid,1
