age,sex,race,marital_status,education,employment,income,books_read_count,read_print_raw,read_audio_raw,read_ebook_raw,last_book_source,read_news,read_magazines,read_print,read_audio,read_ebook,reader_segment,is_digital_adopter
30,Male,Black or African-American,Never been married,"Some college, no 4-year degree",Employed full-time,"$30,000 to under $40,000",24,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
85,Female,White,Married,High school graduate,Retired,"$40,000 to under $50,000",24,Yes,No,No,Borrowed the book from a library,Yes,Yes,1,0,0,Print-only,0
85,Male,White,Married,College graduate,Employed part-time,"$50,000 to under $75,000",24,Yes,No,No,Borrowed the book from a library,Yes,Yes,1,0,0,Print-only,0
84,Female,White,Widowed,High school graduate,Not employed for pay,"$10,000 to under $20,000",24,Yes,No,No,Purchased the book,Yes,No,1,0,0,Print-only,0
83,Female,White,Widowed,"Some college, no 4-year degree",Retired,"$20,000 to under $30,000",24,Yes,No,No,Borrowed the book from a friend or family member,Yes,No,1,0,0,Print-only,0
75,Female,White,Married,College graduate,Retired,"$50,000 to under $75,000",24,Yes,Yes,Yes,Got the book some other way,No,Yes,1,1,1,Hybrid,1
69,Female,White,Married,College graduate,Retired,Refused,24,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,1,0,0,Print-only,0
69,Male,White,Never been married,High school graduate,Retired,"$20,000 to under $30,000",24,Yes,No,No,Purchased the book,Yes,Yes,1,0,0,Print-only,0
67,Female,White,Divorced,Post-graduate training/professional school after college,Employed part-time,"$75,000 to under $100,000",24,Yes,Yes,Yes,Got the book some other way,No,No,1,1,1,Hybrid,1
65,Male,White,Married,"Some college, no 4-year degree",Employed part-time,"$75,000 to under $100,000",24,Yes,Yes,No,Purchased the book,Yes,Yes,1,1,0,Hybrid,1
64,Female,White,Married,College graduate,Retired,"$40,000 to under $50,000",24,Yes,No,No,Borrowed the book from a library,Yes,No,1,0,0,Print-only,0
63,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$40,000 to under $50,000",24,Yes,No,No,Borrowed the book from a friend or family member,Yes,No,1,0,0,Print-only,0
62,Male,White,Divorced,Post-graduate training/professional school after college,Retired,"$40,000 to under $50,000",24,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
60,Female,White,Married,High school graduate,Employed full-time,"$50,000 to under $75,000",24,No,No,Yes,Purchased the book,No,No,0,0,1,Digital/Audio-only,1
60,Female,White,Widowed,High school graduate,Employed part-time,"$20,000 to under $30,000",24,Yes,No,No,Purchased the book,Yes,No,1,0,0,Print-only,0
60,Female,White,Married,High school graduate,Employed part-time,"$30,000 to under $40,000",24,Yes,No,No,Borrowed the book from a library,Yes,Yes,1,0,0,Print-only,0
60,Male,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",24,Yes,No,Yes,Got the book some other way,Yes,Yes,1,0,1,Hybrid,1
59,Female,White,Married,Post-graduate training/professional school after college,Not employed for pay,"$75,000 to under $100,000",24,Yes,Yes,No,Borrowed the book from a library,Yes,Yes,1,1,0,Hybrid,1
58,Male,White,Separated,College graduate,Retired,Refused,24,Yes,No,No,Purchased the book,Yes,Yes,1,0,0,Print-only,0
57,Female,White,Married,High school graduate,Employed full-time,"$40,000 to under $50,000",24,Yes,No,No,Purchased the book,Yes,No,1,0,0,Print-only,0
55,Female,White,Married,College graduate,Employed full-time,Refused,24,No,Yes,Yes,Purchased the book,Yes,No,0,1,1,Digital/Audio-only,1
54,Female,White,Married,College graduate,Employed part-time,"$100,000 to under $150,000",24,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
51,Female,White,Married,"Technical, trade or vocational school AFTER high school",Retired,"$50,000 to under $75,000",24,Yes,No,Yes,Got the book some other way,No,Yes,1,0,1,Hybrid,1
50,Male,White,Married,"Some college, no 4-year degree",Not employed for pay,"$50,000 to under $75,000",24,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,1,0,0,Print-only,0
50,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",24,Yes,No,No,Purchased the book,Yes,No,1,0,0,Print-only,0
50,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",24,Yes,No,Yes,Purchased the book,Yes,No,1,0,1,Hybrid,1
47,Female,White,Married,"Some college, no 4-year degree",Employed part-time,"$100,000 to under $150,000",24,Yes,No,No,Borrowed the book from a library,Yes,Yes,1,0,0,Print-only,0
47,Female,White,Never been married,Post-graduate training/professional school after college,Not employed for pay,"$100,000 to under $150,000",24,Yes,No,Yes,Purchased the book,No,No,1,0,1,Hybrid,1
41,Male,White,Married,College graduate,Retired,"$100,000 to under $150,000",24,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
33,Female,White,Married,Post-graduate training/professional school after college,Not employed for pay,"$30,000 to under $40,000",24,Yes,No,No,Purchased the book,No,Yes,1,0,0,Print-only,0
17,Female,White,Never been married,High school incomplete,Not employed for pay,"$75,000 to under $100,000",24,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,1,0,0,Print-only,0
21,Female,White,Never been married,College graduate,Employed full-time,"$100,000 to under $150,000",23,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
58,Female,White,Married,"Some college, no 4-year degree",Employed part-time,"$100,000 to under $150,000",22,Yes,Yes,Yes,Purchased the book,Yes,No,1,1,1,Hybrid,1
50,Female,Refused,Don’t know,Post-graduate training/professional school after college,Employed full-time,"$40,000 to under $50,000",20,Yes,Yes,Yes,Got the book some other way,Yes,Yes,1,1,1,Hybrid,1
49,Female,Refused,Divorced,Post-graduate training/professional school after college,Employed part-time,"$40,000 to under $50,000",20,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,1,0,0,Print-only,0
46,Female,Refused,Living with a partner,High school graduate,Employed full-time,Refused,20,Yes,No,No,Purchased the book,Yes,No,1,0,0,Print-only,0
38,Male,Refused,Married,Post-graduate training/professional school after college,Employed full-time,Refused,20,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1,Hybrid,1
21,Male,Other,Living with a partner,High school incomplete,Employed part-time,"$40,000 to under $50,000",20,Yes,No,No,Purchased the book,No,Yes,1,0,0,Print-only,0
40,Female,Native American/American Indian,Divorced,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
39,Male,Mixed race,Never been married,College graduate,Employed full-time,"$40,000 to under $50,000",20,Yes,No,No,Purchased the book,No,No,1,0,0,Print-only,0
27,Female,Mixed race,Married,"Some college, no 4-year degree",Employed full-time,"$100,000 to under $150,000",20,No,Yes,No,Purchased the book,Yes,Yes,0,1,0,Digital/Audio-only,1
24,Male,Mixed race,Never been married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",20,Yes,No,Yes,Borrowed the book from a friend or family member,No,No,1,0,1,Hybrid,1
17,Female,Mixed race,Never been married,High school incomplete,Employed full-time,"Less than $10,000",20,Yes,Yes,Yes,Got the book some other way,Yes,No,1,1,1,Hybrid,1
17,Female,Mixed race,Never been married,High school incomplete,Not employed for pay,"$100,000 to under $150,000",20,Yes,No,No,Borrowed the book from a friend or family member,No,No,1,0,0,Print-only,0
16,Male,Mixed race,Never been married,High school incomplete,Student,"9$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,No,Yes,1,0,1,Hybrid,1
47,Male,Asian or Pacific Islander,Married,"Technical, trade or vocational school AFTER high school",Student,"$100,000 to under $150,000",20,Yes,No,No,Purchased the book,No,Yes,1,0,0,Print-only,0
34,Female,Asian or Pacific Islander,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",20,Yes,No,Yes,Got the book some other way,No,Yes,1,0,1,Hybrid,1
25,Male,Asian or Pacific Islander,Never been married,College graduate,Employed full-time,Refused,20,Yes,No,Yes,Got the book some other way,Yes,Yes,1,0,1,Hybrid,1
25,Female,Asian or Pacific Islander,Living with a partner,College graduate,Employed full-time,Refused,20,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,1,0,0,Print-only,0
78,Female,Black or African-American,Widowed,High school graduate,Retired,"9$100,000 to under $150,000",20,No,No,Yes,Purchased the book,No,Yes,0,0,1,Digital/Audio-only,1
60,Male,Black or African-American,Married,Post-graduate training/professional school after college,Employed full-time,"$40,000 to under $50,000",20,Yes,Yes,No,Purchased the book,Yes,Yes,1,1,0,Hybrid,1
56,Female,Black or African-American,Divorced,High school graduate,Employed full-time,"$20,000 to under $30,000",20,Yes,No,No,Borrowed the book from a friend or family member,Yes,No,1,0,0,Print-only,0
47,Male,Black or African-American,Married,"Some college, no 4-year degree",Employed full-time,"$30,000 to under $40,000",20,Yes,No,No,Borrowed the book from a library,Yes,Yes,1,0,0,Print-only,0
47,Male,Black or African-American,Married,High school graduate,Employed full-time,"$40,000 to under $50,000",20,Yes,Yes,Yes,Borrowed the book from a friend or family member,Yes,No,1,1,1,Hybrid,1
37,Male,Black or African-American,Married,College graduate,Employed full-time,"$75,000 to under $100,000",20,Yes,No,No,Purchased the book,Yes,Yes,1,0,0,Print-only,0
37,Male,Black or African-American,Living with a partner,"Some college, no 4-year degree",Employed full-time,"$10,000 to under $20,000",20,Yes,No,No,Got the book some other way,Yes,No,1,0,0,Print-only,0
31,Female,Black or African-American,Living with a partner,High school graduate,Employed full-time,"$30,000 to under $40,000",20,Yes,No,No,Got the book some other way,Yes,Yes,1,0,0,Print-only,0
29,Male,Black or African-American,Separated,Don’t know,Employed full-time,"$50,000 to under $75,000",20,Yes,No,No,Purchased the book,No,No,1,0,0,Print-only,0
22,Female,Black or African-American,Never been married,"Some college, no 4-year degree",Not employed for pay,"$40,000 to under $50,000",20,Yes,No,Yes,Purchased the book,No,Yes,1,0,1,Hybrid,1
17,Female,Black or African-American,Never been married,High school incomplete,Not employed for pay,"9$100,000 to under $150,000",20,Yes,No,No,Borrowed the book from a library,No,Yes,1,0,0,Print-only,0
83,Female,White,Widowed,Post-graduate training/professional school after college,Retired,"$75,000 to under $100,000",20,Yes,No,Yes,Purchased the book,No,No,1,0,1,Hybrid,1
80,Female,White,Divorced,"Some college, no 4-year degree",Retired,"$10,000 to under $20,000",20,Yes,No,No,Borrowed the book from a friend or family member,Yes,No,1,0,0,Print-only,0
80,Male,White,Married,Post-graduate training/professional school after college,Retired,Refused,20,Yes,No,No,Borrowed the book from a library,Yes,Yes,1,0,0,Print-only,0
73,Female,White,Divorced,College graduate,Employed full-time,"$50,000 to under $75,000",20,Yes,No,Yes,Got the book some other way,Yes,Yes,1,0,1,Hybrid,1
72,Male,White,Divorced,College graduate,Retired,"9$100,000 to under $150,000",20,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1,Hybrid,1
72,Female,White,Married,High school graduate,Retired,"9$100,000 to under $150,000",20,Yes,No,No,Borrowed the book from a library,No,Yes,1,0,0,Print-only,0
70,Male,White,Divorced,College graduate,Retired,"$75,000 to under $100,000",20,Yes,No,No,Purchased the book,Yes,No,1,0,0,Print-only,0
70,Female,White,Married,Post-graduate training/professional school after college,Employed part-time,"$50,000 to under $75,000",20,Yes,No,Yes,Borrowed the book from a library,Yes,No,1,0,1,Hybrid,1
70,Female,White,Married,High school graduate,Employed part-time,"$30,000 to under $40,000",20,Yes,No,Yes,Borrowed the book from a library,Yes,Yes,1,0,1,Hybrid,1
70,Male,White,Married,Post-graduate training/professional school after college,Retired,"$50,000 to under $75,000",20,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
70,Female,White,Married,Post-graduate training/professional school after college,Retired,"9$100,000 to under $150,000",20,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,1,0,0,Print-only,0
69,Female,White,Widowed,"Some college, no 4-year degree",Retired,"$20,000 to under $30,000",20,Yes,No,No,Borrowed the book from a library,No,No,1,0,0,Print-only,0
69,Female,White,Married,College graduate,Retired,"$40,000 to under $50,000",20,Yes,Yes,Yes,Purchased the book,No,Yes,1,1,1,Hybrid,1
69,Male,White,Married,College graduate,Retired,"$75,000 to under $100,000",20,Yes,No,No,Purchased the book,Yes,Yes,1,0,0,Print-only,0
68,Male,White,Married,College graduate,Retired,"$30,000 to under $40,000",20,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
68,Female,White,Married,Post-graduate training/professional school after college,Retired,"$50,000 to under $75,000",20,Yes,Yes,Yes,Purchased the book,No,Yes,1,1,1,Hybrid,1
68,Female,White,Married,College graduate,Retired,"$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
68,Female,White,Married,High school graduate,Retired,"$30,000 to under $40,000",20,Yes,No,No,Purchased the book,Yes,No,1,0,0,Print-only,0
67,Male,White,Married,College graduate,Retired,"$100,000 to under $150,000",20,No,No,Yes,Purchased the book,Yes,No,0,0,1,Digital/Audio-only,1
66,Female,White,Divorced,Post-graduate training/professional school after college,Employed full-time,Refused,20,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
66,Female,White,Never been married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",20,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1,Hybrid,1
65,Female,White,Married,Post-graduate training/professional school after college,Retired,"$75,000 to under $100,000",20,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
65,Female,White,Married,"Some college, no 4-year degree",Retired,"$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,No,No,1,0,1,Hybrid,1
64,Male,White,Married,Post-graduate training/professional school after college,Retired,"$75,000 to under $100,000",20,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
64,Female,White,Single,Post-graduate training/professional school after college,Employed part-time,"$50,000 to under $75,000",20,Yes,No,No,Purchased the book,Yes,Yes,1,0,0,Print-only,0
63,Female,White,Married,High school graduate,Retired,"$75,000 to under $100,000",20,Yes,No,No,Borrowed the book from a library,Yes,Yes,1,0,0,Print-only,0
63,Female,White,Married,Post-graduate training/professional school after college,Employed part-time,Refused,20,Yes,Yes,No,Borrowed the book from a library,Yes,Yes,1,1,0,Hybrid,1
63,Female,White,Married,College graduate,Retired,"$100,000 to under $150,000",20,Yes,No,No,Purchased the book,Yes,Yes,1,0,0,Print-only,0
62,Female,White,Divorced,Post-graduate training/professional school after college,Employed full-time,"$40,000 to under $50,000",20,Yes,No,No,Purchased the book,Yes,Yes,1,0,0,Print-only,0
62,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$30,000 to under $40,000",20,Yes,No,No,Purchased the book,No,No,1,0,0,Print-only,0
62,Female,White,Married,Post-graduate training/professional school after college,Employed part-time,"$100,000 to under $150,000",20,No,Yes,Yes,Purchased the book,No,No,0,1,1,Digital/Audio-only,1
62,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$75,000 to under $100,000",20,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,1,0,0,Print-only,0
62,Female,White,Married,"Some college, no 4-year degree",Retired,"$100,000 to under $150,000",20,Yes,No,No,Borrowed the book from a library,Yes,No,1,0,0,Print-only,0
61,Female,White,Divorced,Post-graduate training/professional school after college,Employed part-time,"$30,000 to under $40,000",20,Yes,Yes,Yes,Purchased the book,Yes,No,1,1,1,Hybrid,1
60,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",20,Yes,No,No,Borrowed the book from a friend or family member,Yes,No,1,0,0,Print-only,0
60,Male,White,Married,"Some college, no 4-year degree",Retired,"$100,000 to under $150,000",20,Yes,No,No,Purchased the book,Yes,No,1,0,0,Print-only,0
60,Female,White,Married,"Some college, no 4-year degree",Employed part-time,"$100,000 to under $150,000",20,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes,1,0,1,Hybrid,1
60,Male,White,Married,High school graduate,Retired,"$50,000 to under $75,000",20,Yes,No,No,Purchased the book,Yes,Yes,1,0,0,Print-only,0
60,Male,White,Divorced,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
60,Female,White,Married,High school graduate,Not employed for pay,Refused,20,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes,1,1,1,Hybrid,1
59,Female,White,Married,College graduate,Not employed for pay,"$100,000 to under $150,000",20,No,No,Yes,Purchased the book,Yes,No,0,0,1,Digital/Audio-only,1
59,Female,White,Married,College graduate,Disabled,"$40,000 to under $50,000",20,Yes,No,No,Got the book some other way,Yes,Yes,1,0,0,Print-only,0
58,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
57,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$75,000 to under $100,000",20,Yes,No,No,Purchased the book,Yes,Yes,1,0,0,Print-only,0
56,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$75,000 to under $100,000",20,Yes,No,No,Got the book some other way,Yes,Yes,1,0,0,Print-only,0
56,Female,White,Married,College graduate,Employed full-time,"$50,000 to under $75,000",20,Yes,No,No,Purchased the book,Yes,Yes,1,0,0,Print-only,0
56,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
55,Female,White,Married,College graduate,Employed full-time,Refused,20,Yes,Yes,No,Borrowed the book from a library,No,Yes,1,1,0,Hybrid,1
55,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",20,No,Yes,No,Purchased the book,No,No,0,1,0,Digital/Audio-only,1
55,Female,White,Divorced,High school graduate,Employed full-time,"Less than $10,000",20,Yes,No,No,Purchased the book,Yes,No,1,0,0,Print-only,0
55,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
54,Male,White,Living with a partner,"Some college, no 4-year degree",Employed full-time,"$40,000 to under $50,000",20,Yes,No,No,Got the book some other way,No,No,1,0,0,Print-only,0
54,Male,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",20,Yes,No,No,Purchased the book,Yes,Yes,1,0,0,Print-only,0
54,Male,White,Divorced,College graduate,Employed full-time,"$100,000 to under $150,000",20,Yes,No,No,Purchased the book,Yes,Yes,1,0,0,Print-only,0
54,Male,White,Married,High school graduate,Employed part-time,"$30,000 to under $40,000",20,Yes,No,Yes,Got the book some other way,Yes,No,1,0,1,Hybrid,1
54,Male,White,Never been married,Post-graduate training/professional school after college,Retired,"$40,000 to under $50,000",20,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
53,Female,White,Divorced,High school graduate,Employed part-time,"$10,000 to under $20,000",20,No,No,Yes,Purchased the book,Yes,No,0,0,1,Digital/Audio-only,1
53,Female,White,Married,College graduate,Not employed for pay,Refused,20,Yes,Yes,Yes,Purchased the book,No,Yes,1,1,1,Hybrid,1
52,Female,White,Never been married,"Some college, no 4-year degree",Employed full-time,"$30,000 to under $40,000",20,Yes,No,No,Purchased the book,Yes,Yes,1,0,0,Print-only,0
52,Female,White,Divorced,"Some college, no 4-year degree",Employed full-time,"$20,000 to under $30,000",20,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,1,0,0,Print-only,0
50,Male,White,Never been married,College graduate,Employed full-time,"9$100,000 to under $150,000",20,Yes,Yes,Yes,Purchased the book,No,Yes,1,1,1,Hybrid,1
49,Female,White,Living with a partner,High school graduate,Employed full-time,"$30,000 to under $40,000",20,Yes,No,No,Borrowed the book from a friend or family member,Yes,No,1,0,0,Print-only,0
48,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$50,000 to under $75,000",20,Yes,Yes,No,Purchased the book,Yes,Yes,1,1,0,Hybrid,1
48,Female,White,Living with a partner,College graduate,Employed full-time,"$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
48,Female,White,Married,"Some college, no 4-year degree",Employed part-time,"$50,000 to under $75,000",20,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,Yes,1,1,0,Hybrid,1
48,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",20,Yes,No,Yes,Got the book some other way,No,Yes,1,0,1,Hybrid,1
47,Female,White,Married,Post-graduate training/professional school after college,Employed part-time,"$100,000 to under $150,000",20,Yes,Yes,No,Borrowed the book from a library,Yes,Yes,1,1,0,Hybrid,1
47,Female,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,No,Yes,1,0,1,Hybrid,1
45,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$50,000 to under $75,000",20,Yes,Yes,Yes,Purchased the book,No,Yes,1,1,1,Hybrid,1
44,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$75,000 to under $100,000",20,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,1,0,0,Print-only,0
44,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
44,Male,White,Married,"Some college, no 4-year degree",Retired,"$50,000 to under $75,000",20,Yes,Yes,Yes,Got the book some other way,Yes,Yes,1,1,1,Hybrid,1
44,Male,White,Married,College graduate,Not employed for pay,"$50,000 to under $75,000",20,Yes,No,No,Got the book some other way,No,No,1,0,0,Print-only,0
43,Female,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",20,Yes,No,Yes,Purchased the book,No,Yes,1,0,1,Hybrid,1
43,Female,White,Never been married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,No,Yes,1,0,1,Hybrid,1
42,Female,White,Married,High school graduate,Employed full-time,"$40,000 to under $50,000",20,No,Yes,No,Borrowed the book from a library,Yes,No,0,1,0,Digital/Audio-only,1
42,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",20,Yes,Yes,No,Borrowed the book from a library,No,No,1,1,0,Hybrid,1
42,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,Refused,20,Yes,No,No,Purchased the book,Yes,No,1,0,0,Print-only,0
42,Female,White,Married,High school graduate,Employed full-time,"$50,000 to under $75,000",20,Yes,No,No,Borrowed the book from a friend or family member,No,No,1,0,0,Print-only,0
40,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
40,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$75,000 to under $100,000",20,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes,1,1,1,Hybrid,1
40,Male,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",20,Yes,Yes,No,Purchased the book,Yes,Yes,1,1,0,Hybrid,1
39,Female,White,Married,Post-graduate training/professional school after college,Not employed for pay,Refused,20,Yes,No,No,Purchased the book,No,Yes,1,0,0,Print-only,0
39,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",20,Yes,No,No,Purchased the book,Yes,Yes,1,0,0,Print-only,0
38,Female,White,Married,"Some college, no 4-year degree",Employed part-time,"$30,000 to under $40,000",20,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,1,0,0,Print-only,0
38,Female,White,Living with a partner,Post-graduate training/professional school after college,Employed full-time,"$50,000 to under $75,000",20,Yes,No,Yes,Purchased the book,Yes,No,1,0,1,Hybrid,1
38,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",20,Yes,Yes,No,Purchased the book,Yes,No,1,1,0,Hybrid,1
37,Female,White,Married,College graduate,Not employed for pay,"$50,000 to under $75,000",20,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,No,1,0,1,Hybrid,1
35,Male,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",20,Yes,Yes,No,8,Yes,No,1,1,0,Hybrid,1
34,Male,White,Never been married,"Some college, no 4-year degree",Student,"$50,000 to under $75,000",20,Yes,No,Yes,Purchased the book,Yes,No,1,0,1,Hybrid,1
34,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$30,000 to under $40,000",20,Yes,No,Yes,Got the book some other way,Yes,No,1,0,1,Hybrid,1
33,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$30,000 to under $40,000",20,Yes,No,No,Got the book some other way,Yes,Yes,1,0,0,Print-only,0
33,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",20,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1,Hybrid,1
33,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$50,000 to under $75,000",20,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1,Hybrid,1
33,Male,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",20,Yes,No,No,Purchased the book,No,Yes,1,0,0,Print-only,0
33,Female,White,Married,"Some college, no 4-year degree",Not employed for pay,"$50,000 to under $75,000",20,Yes,No,Yes,Purchased the book,No,Yes,1,0,1,Hybrid,1
33,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,Yes,No,1,0,1,Hybrid,1
32,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",20,Yes,Yes,No,Got the book some other way,Yes,Yes,1,1,0,Hybrid,1
32,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",20,Yes,No,Yes,Purchased the book,Yes,No,1,0,1,Hybrid,1
31,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",20,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,No,1,1,0,Hybrid,1
31,Female,White,Married,"Some college, no 4-year degree",Other,"$75,000 to under $100,000",20,No,No,Yes,Purchased the book,Yes,Yes,0,0,1,Digital/Audio-only,1
30,Male,White,Never been married,College graduate,Employed full-time,"$100,000 to under $150,000",20,No,No,No,Purchased the book,No,No,0,0,0,Non-reader,0
29,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,Refused,20,Yes,No,No,Purchased the book,Yes,Yes,1,0,0,Print-only,0
26,Female,White,Married,College graduate,Employed full-time,"$40,000 to under $50,000",20,Yes,No,Yes,Purchased the book,No,No,1,0,1,Hybrid,1
26,Female,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",20,Yes,No,Yes,Purchased the book,No,Yes,1,0,1,Hybrid,1
26,Female,White,Married,High school graduate,Employed full-time,"$30,000 to under $40,000",20,Yes,No,Yes,Got the book some other way,Yes,No,1,0,1,Hybrid,1
26,Male,White,Living with a partner,High school graduate,Not employed for pay,"$30,000 to under $40,000",20,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
25,Male,White,Never been married,College graduate,Employed full-time,"$50,000 to under $75,000",20,Yes,Yes,Yes,Borrowed the book from a friend or family member,Yes,Yes,1,1,1,Hybrid,1
24,Female,White,Married,College graduate,Not employed for pay,"$40,000 to under $50,000",20,Yes,No,No,Purchased the book,No,Yes,1,0,0,Print-only,0
24,Male,White,Never been married,College graduate,Employed full-time,"$75,000 to under $100,000",20,Yes,No,No,Got the book some other way,Yes,Yes,1,0,0,Print-only,0
24,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$40,000 to under $50,000",20,Yes,Yes,No,Purchased the book,No,No,1,1,0,Hybrid,1
24,Female,White,Never been married,"Some college, no 4-year degree",Employed full-time,"9$100,000 to under $150,000",20,Yes,No,No,Purchased the book,No,Yes,1,0,0,Print-only,0
